Rndrng_Prvdr_State_Abrvtn,irs_estimated_population,derm_provider_count,derm_access_score
DC,170026.0,52,3.058355780880571
MA,2100400.0,469,2.2329080175204723
NH,350850.0,67,1.9096479977198233
SD,243150.0,42,1.727328809376928
VT,133670.0,23,1.7206553452532356
PA,3294309.0,528,1.6027640394389233
MN,1524802.0,229,1.501834336523693
LA,1194050.0,178,1.490724844018257
AR,513811.0,76,1.4791431090420406
NE,311790.0,45,1.4432791301837775
OR,1070860.0,150,1.4007433277926151
AL,1070025.0,149,1.3924908296535128
KY,888630.0,123,1.3841531346004525
WV,303968.0,42,1.3817243920412676
ME,283060.0,39,1.377799759768247
CT,1272282.0,170,1.3361817584466338
DE,145720.0,19,1.3038704364534726
NY,7013702.0,906,1.2917571918510369
RI,412790.0,53,1.2839458320211246
NC,2972544.0,374,1.258181544158808
WA,2144812.0,264,1.2308771118401052
MT,300870.0,37,1.2297670090072124
KS,572150.0,70,1.2234553875731888
WI,1730430.0,209,1.2077922828429928
CA,11525513.0,1389,1.205152430091398
AZ,2136190.0,255,1.1937140422902457
CO,1800300.0,214,1.1886907737599288
IA,561400.0,66,1.175632347702173
TN,1642328.0,190,1.1568943597137722
VA,2828780.0,324,1.1453700888722347
OH,3511098.0,402,1.1449409842732956
MI,2922040.0,332,1.1361925230318546
IL,3815350.0,433,1.134889328633022
MO,1686610.0,189,1.1205910079982924
FL,8802664.0,984,1.1178434164930071
MS,592604.0,66,1.113728560725206
NM,386210.0,43,1.1133839103078635
OK,840270.0,92,1.0948861675413857
TX,8372647.0,878,1.048652833446818
SC,1368160.0,142,1.0378903052274588
HI,559033.0,57,1.0196178043156665
NJ,3414314.0,348,1.0192384180248213
ND,256928.0,26,1.0119566571179475
AK,160000.0,16,1.0
UT,1319540.0,131,0.9927702077996877
MD,2656437.0,253,0.9524035390261467
GA,2880558.0,273,0.9477330433895099
NV,551251.0,52,0.9433089463783285
IN,1767820.0,163,0.9220395741647904
ID,625040.0,51,0.8159477793421221
WY,153420.0,11,0.7169860513622734
